thr,flagged,tp,fp,tn,fn,precision,recall,f1,missed,mae_onset,mae_recovery,skill_onset,skill_recovery,taskB,penalty_total,penalty_share_of_onset_err,mean3,score_20_80,score_30_70,score_40_60,score_50_50,score_60_40,score_70_30,score_80_20
0.0,1.0,1050,1950,0,0,0.35,1.0,0.5185185185185185,0,2.634060952958417,2.893024119217009,0.6540863648112274,0.10754553086087804,0.3808159478360527,0.0,0.0,0.42671680473020795,0.4083564619725459,0.42212671904079246,0.435896976109039,0.44966723317728563,0.46343749024553216,0.4772077473137788,0.4909780043820253
0.01,1.0,1050,1950,0,0,0.35,1.0,0.5185185185185185,0,2.634060952958417,2.893024119217009,0.6540863648112274,0.10754553086087804,0.3808159478360527,0.0,0.0,0.42671680473020795,0.4083564619725459,0.42212671904079246,0.435896976109039,0.44966723317728563,0.46343749024553216,0.4772077473137788,0.4909780043820253
0.02,0.9996666666666667,1050,1949,1,0,0.35011670556852287,1.0,0.5186465794023216,0,2.634060952958417,2.893024119217009,0.6540863648112274,0.10754553086087804,0.3808159478360527,0.0,0.0,0.42675949169147565,0.4083820741493065,0.4221651373059334,0.4359482004625603,0.44973126361918714,0.46351432677581406,0.477297389932441,0.49108045308906784
0.03,0.9976666666666667,1050,1943,7,0,0.35081857667891747,1.0,0.5194162750432847,0,2.634060952958417,2.893024119217009,0.6540863648112274,0.10754553086087804,0.3808159478360527,0.0,0.0,0.42701605690513,0.4085360132774991,0.42239604599822234,0.4362560787189455,0.4501161114396687,0.4639761441603919,0.4778361768811151,0.4916962096018383
0.04,0.9953333333333333,1050,1936,14,0,0.35164099129269927,1.0,0.5203171456888008,0,2.634060952958417,2.893024119217009,0.6540863648112274,0.10754553086087804,0.3808159478360527,0.0,0.0,0.4273163471203021,0.40871618740660237,0.42266630719187714,0.436616426977152,0.4505665467624268,0.4645166665477016,0.47846678633297635,0.49241690611825123
0.045561144344441196,0.9936666666666667,1050,1931,19,0,0.3522307950352231,1.0,0.5209625403125776,0,2.634060952958417,2.893024119217009,0.6540863648112274,0.10754553086087804,0.3808159478360527,0.0,0.0,0.427531478661561,0.4088452663313577,0.4228599255790102,0.43687458482666264,0.4508892440743152,0.4649039033219676,0.4789185625696202,0.4929332218172726
0.05,0.992,1050,1926,24,0,0.3528225806451613,1.0,0.5216095380029807,0,2.634060952958417,2.893024119217009,0.6540863648112274,0.10754553086087804,0.3808159478360527,0.0,0.0,0.427747144558362,0.4089746658694383,0.4230540248861311,0.4371333839028239,0.45121274291951674,0.4652921019362095,0.4793714609529023,0.4934508199695951
0.06,0.9893333333333333,1050,1918,32,0,0.35377358490566035,1.0,0.5226480836236934,0,2.634060952958417,2.893024119217009,0.6540863648112274,0.10754553086087804,0.3808159478360527,0.0,0.0,0.42809332643193293,0.4091823749935809,0.42336558857234496,0.43754880215110903,0.4517320157298731,0.46591522930863716,0.4800984428874012,0.4942816564661653
0.07,0.9856666666666667,1049,1908,42,1,0.35475143726750086,0.9990476190476191,0.5235837284751684,1,2.6601848158837407,2.9201522417902925,0.6506556923434842,0.09917691268411943,0.3749163025138018,30.0,0.010740392321928523,0.4244721111675907,0.4046497877060752,0.41951653030221175,0.43438327289834844,0.4492500154944851,0.4641167580906218,0.47898350068675843,0.4938502432828951
0.08,0.98,1048,1892,58,2,0.3564625850340136,0.9980952380952381,0.5253132832080201,2,2.6850077377347614,2.947264899560307,0.6473958637795896,0.09081306516678955,0.36910446447318956,60.0,0.021282194587292472,0.42117407071813306,0.4003462282201557,0.4159671100936387,0.4315879919671218,0.4472088738406048,0.46282975571408785,0.4784506375875709,0.494071519461054
0.09,0.9676666666666667,1041,1862,88,9,0.3585945573544609,0.9914285714285714,0.5266885909435871,9,2.8630813654295553,3.132366495662654,0.6240106433966006,0.03371200417354969,0.32886132378507515,270.0,0.08981332498885422,0.39480374617124575,0.3684267772167775,0.3882095039326287,0.40799223064847995,0.42777495736433113,0.4475576840801823,0.4673404107960335,0.48712313751188474
0.1,0.949,1028,1819,131,22,0.3610818405338953,0.979047619047619,0.5275853220425968,22,3.173030513580863,3.4510701365212637,0.5833070915519616,0.0,0.2916535457759808,660.0,0.19809813548312408,0.3702974711981861,0.338839901029304,0.3624330786559656,0.3860262562826272,0.4096194339092888,0.4332126115359504,0.45680578916261194,0.48039896678927363
0.11,0.9273333333333333,1017,1765,185,33,0.36556434219985623,0.9685714285714285,0.5307933194154488,33,3.422544837216101,3.729249472459236,0.550540041638635,0.0,0.2752700208193175,990.0,0.2754842340134434,0.36044445368469463,0.3263746805385438,0.3519270103981569,0.37747934025777,0.40303167011738317,0.42858399997699625,0.45413632983660945,0.47968865969622254
0.12,0.8993333333333333,996,1702,248,54,0.36916234247590807,0.9485714285714286,0.5314834578441835,54,3.946145624990125,4.275412530814367,0.48177904668778015,0.0,0.24088952334389008,1620.0,0.3909782581480388,0.33775416817732123,0.2990083102439488,0.3280677036939781,0.3571270971440075,0.38618649059403676,0.41524588404406615,0.4443052774940955,0.4733646709441248
0.13,0.8606666666666667,975,1607,343,75,0.37761425251742836,0.9285714285714286,0.5368942731277533,75,4.472461631823786,4.804660202835727,0.41266148014954496,0.0,0.20633074007477248,2250.0,0.47912253234542024,0.3165185844257661,0.2724434466853687,0.3054997999906667,0.3385561532959648,0.3716125066012629,0.404668859906561,0.43772521321185903,0.47078156651715714
